ImageId,TrueLabel,TargetClass
cat.1,282,208
cat.10,282,208
cat.11,282,208
cat.12,282,208
cat.13,282,208
cat.14,282,208
cat.15,282,208
cat.16,282,208
cat.17,282,208
cat.18,282,208
cat.19,282,208
cat.2,282,208
cat.20,282,208
cat.21,282,208
cat.22,282,208
cat.23,282,208
cat.24,282,208
cat.25,282,208
cat.3,282,208
cat.4,282,208
cat.5,282,208
cat.6,282,208
cat.7,282,208
cat.8,282,208
cat.9,282,208
dog.1,208,282
dog.10,208,282
dog.11,208,282
dog.12,208,282
dog.13,208,282
dog.14,208,282
dog.15,208,282
dog.16,208,282
dog.17,208,282
dog.18,208,282
dog.19,208,282
dog.2,208,282
dog.20,208,282
dog.21,208,282
dog.22,208,282
dog.23,208,282
dog.24,208,282
dog.25,208,282
dog.3,208,282
dog.4,208,282
dog.5,208,282
dog.6,208,282
dog.7,208,282
dog.8,208,282
dog.9,208,282
