ImageId,TrueLabel,TargetClass
00000001_000,10,0
00000001_001,10,0
00000001_002,7,10
00000005_007,7,10
00000008_000,10,0
00000011_000,7,10
00000011_006,0,7
00000012_000,7,10
00000013_004,7,10
00000013_006,7,10
00000013_010,7,10
00000013_018,7,10
00000013_021,7,10
00000013_025,10,0
00000013_026,10,0
00000013_027,7,10
00000013_028,7,10
00000013_029,7,10
00000013_030,0,7
00000013_035,0,7
00000013_037,10,0
00000013_040,10,0
00000013_044,10,0
00000013_045,10,0
00000017_000,7,10
00000019_000,0,7
00000023_002,7,10
00000025_000,7,10
00000030_000,0,7
00000030_001,0,7
00000032_000,10,0
00000032_001,7,10
00000032_004,7,10
00000032_006,0,7
00000032_007,7,10
00000032_012,0,7
00000032_021,10,0
00000032_027,10,0
00000032_028,10,0
00000032_029,10,0
00000032_030,10,0
00000032_031,10,0
00000032_032,7,10
00000032_034,0,7
00000032_035,0,7
00000032_036,0,7
00000032_037,10,0
00000032_040,10,0
00000032_041,7,10
00000032_044,10,0
00000032_045,7,10
00000032_050,0,7
00000032_052,0,7
00000032_053,10,0
00000032_054,0,7
00000032_055,10,0
00000032_056,10,0
00000032_057,7,10
00000032_058,7,10
00000032_059,10,0
00000032_060,10,0
00000033_000,0,7
00000036_000,7,10
00000038_000,7,10
00000038_001,0,7
00000038_003,10,0
00000038_006,0,7
00000039_004,7,10
00000041_006,7,10
00000044_000,7,10
00000044_002,10,0
00000045_000,10,0
00000047_003,0,7
00000047_004,0,7
00000047_006,0,7
00000053_001,0,7
00000056_001,7,10
00000057_002,0,7
00000058_000,0,7
00000060_000,0,7
00000061_002,7,10
00000061_003,7,10
00000061_004,0,7
00000061_005,7,10
00000061_006,7,10
00000061_007,7,10
00000061_008,7,10
00000061_009,7,10
00000061_010,7,10
00000061_011,7,10
00000061_012,7,10
00000061_013,7,10
00000061_014,7,10
00000061_017,7,10
00000061_020,7,10
00000061_023,7,10
00000061_025,7,10
00000066_000,0,7
00000067_001,0,7
00000069_000,10,0
00000071_002,7,10
00000071_005,7,10
00000071_006,7,10
00000071_007,7,10
00000072_000,0,7
00000074_000,7,10
00000075_000,10,0
00000075_001,10,0
00000076_000,7,10
00000077_000,10,0
00000078_001,0,7
00000078_002,0,7
00000080_001,0,7
00000080_004,0,7
00000084_000,7,10
00000084_001,7,10
00000086_002,0,7
00000088_000,7,10
00000090_003,7,10
00000090_004,0,7
00000090_005,7,10
00000090_008,7,10
00000091_005,7,10
00000091_008,0,7
00000091_009,7,10
00000091_010,0,7
00000092_001,7,10
00000096_000,10,0
00000096_001,0,7
00000096_002,7,10
00000096_003,0,7
00000096_004,0,7
00000096_005,0,7
00000096_006,7,10
00000096_007,7,10
00000099_000,0,7
00000099_001,0,7
00000099_002,7,10
00000099_003,7,10
00000099_005,0,7
00000099_007,7,10
00000099_008,7,10
00000099_009,7,10
00000099_010,0,7
00000099_011,0,7
00000099_012,7,10
00000099_013,7,10
00000100_000,0,7
00000103_010,0,7
00000103_011,0,7
00000109_000,0,7
00000109_001,0,7
00000109_003,0,7
00000112_000,0,7
00000113_001,0,7
00000116_000,10,0
00000116_001,7,10
00000116_002,7,10
